FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
36103158318,Census Tract 1583.18,Suffolk County,New York,4923,0.19825309770465163,0.6615884623197238,0.14015843997562463,0.7588868576071501,0.013203331302051594,0.17631525492585823,0.007109486085720089,0.044485070079219986,0.01339155749636099,0.9417758369723436,0.42969432314410483,0.14177583697234353
36103158319,Census Tract 1583.19,Suffolk County,New York,4134,0.20633768746976294,0.5781325592646347,0.2155297532656023,0.7128688921141751,0.03483309143686502,0.15916787614900824,0.05563618771165941,0.03749395258829221,0.03444639718804921,0.8991212653778559,0.34165202108963094,0.16520210896309315
36103158320,Census Tract 1583.20,Suffolk County,New York,6235,0.2136327185244587,0.6221331194867682,0.16423416198877305,0.6986367281475542,0.0731355252606255,0.18091419406575782,0.03769045709703288,0.009623095429029671,0.01683348498635123,0.9583712465878071,0.40172884440400364,0.12283894449499545
36103158322,Census Tract 1583.22,Suffolk County,New York,1974,0.19351570415400202,0.47922998986828774,0.3272543059777102,0.7695035460992907,0.06382978723404255,0.044072948328267476,0.08966565349544073,0.03292806484295846,0.0076677316293929714,0.9565495207667731,0.5610223642172524,0.3226837060702875
36103158324,Census Tract 1583.24,Suffolk County,New York,2551,0.13994511956095648,0.5221481771854175,0.33790670325362604,0.6405331242649941,0.046648373186985496,0.1889455115640925,0.12034496275970208,0.0035280282242257936,0.04515805318615153,0.7807325639739087,0.2729553437029604,0.10787757150025087
36103158325,Census Tract 1583.25,Suffolk County,New York,7966,0.27152899824253074,0.6383379362289732,0.0901330655284961,0.604318353000251,0.18867687672608585,0.11586743660557369,0.06916896811448657,0.021968365553602813,0.0014175779667881733,0.8683677602268125,0.2648845686512758,0.14803564196030783
36103158326,Census Tract 1583.26,Suffolk County,New York,1317,0.23993925588458617,0.5140470766894457,0.2460136674259681,0.7274107820804859,0.0425208807896735,0.20045558086560364,0.029612756264236904,0.0,0.0,0.8882978723404256,0.2680851063829787,0.13829787234042554
36103158327,Census Tract 1583.27,Suffolk County,New York,6344,0.23738965952080707,0.6347730138713745,0.1278373266078184,0.687421185372005,0.029634300126103404,0.23975409836065573,0.014501891551071878,0.028688524590163935,0.047959914101646385,0.8270102600811262,0.29133858267716534,0.09949892627057981
36103158328,Census Tract 1583.28,Suffolk County,New York,5268,0.23766135155656795,0.60041761579347,0.16192103264996202,0.7594912680334093,0.003416856492027335,0.1674259681093394,0.021829916476841307,0.04783599088838269,0.051531213191990576,0.9184334511189635,0.49764428739693756,0.232037691401649
36103158329,Census Tract 1583.29,Suffolk County,New York,1560,0.24615384615384617,0.5102564102564102,0.24358974358974358,0.8070512820512821,0.0057692307692307696,0.05961538461538462,0.11474358974358974,0.01282051282051282,0.0,0.9519918283963228,0.47088866189989786,0.24923391215526047
