FIPS,Tract,County,State,LILATracts_Vehicle
36103112102,Census Tract 1121.02,Suffolk County,New York,0
36103112103,Census Tract 1121.03,Suffolk County,New York,0
36103112104,Census Tract 1121.04,Suffolk County,New York,0
36103112204,Census Tract 1122.04,Suffolk County,New York,0
36103112206,Census Tract 1122.06,Suffolk County,New York,0
36103112210,Census Tract 1122.10,Suffolk County,New York,0
36103112211,Census Tract 1122.11,Suffolk County,New York,0
36103112212,Census Tract 1122.12,Suffolk County,New York,0
36103112213,Census Tract 1122.13,Suffolk County,New York,0
36103112214,Census Tract 1122.14,Suffolk County,New York,0
36103122300,Census Tract 1223,Suffolk County,New York,0
36103122403,Census Tract 1224.03,Suffolk County,New York,0
36103122404,Census Tract 1224.04,Suffolk County,New York,0
36103122405,Census Tract 1224.05,Suffolk County,New York,0
36103122406,Census Tract 1224.06,Suffolk County,New York,0
36103122501,Census Tract 1225.01,Suffolk County,New York,0
36103122502,Census Tract 1225.02,Suffolk County,New York,0
36103122601,Census Tract 1226.01,Suffolk County,New York,0
36103122602,Census Tract 1226.02,Suffolk County,New York,0
36103122603,Census Tract 1226.03,Suffolk County,New York,0
36103122704,Census Tract 1227.04,Suffolk County,New York,0
36103122705,Census Tract 1227.05,Suffolk County,New York,0
36103122706,Census Tract 1227.06,Suffolk County,New York,0
36103122707,Census Tract 1227.07,Suffolk County,New York,0
36103122801,Census Tract 1228.01,Suffolk County,New York,0
36103122802,Census Tract 1228.02,Suffolk County,New York,0
36103122901,Census Tract 1229.01,Suffolk County,New York,0
36103122902,Census Tract 1229.02,Suffolk County,New York,0
36103123001,Census Tract 1230.01,Suffolk County,New York,0
36103123002,Census Tract 1230.02,Suffolk County,New York,0
36103123101,Census Tract 1231.01,Suffolk County,New York,0
36103123102,Census Tract 1231.02,Suffolk County,New York,0
36103123201,Census Tract 1232.01,Suffolk County,New York,0
36103123202,Census Tract 1232.02,Suffolk County,New York,0
36103123301,Census Tract 1233.01,Suffolk County,New York,0
36103123302,Census Tract 1233.02,Suffolk County,New York,0
36103123401,Census Tract 1234.01,Suffolk County,New York,0
36103123402,Census Tract 1234.02,Suffolk County,New York,0
36103123500,Census Tract 1235,Suffolk County,New York,0
36103123600,Census Tract 1236,Suffolk County,New York,0
36103123701,Census Tract 1237.01,Suffolk County,New York,0
36103123702,Census Tract 1237.02,Suffolk County,New York,0
36103123801,Census Tract 1238.01,Suffolk County,New York,0
36103123802,Census Tract 1238.02,Suffolk County,New York,0
36103123900,Census Tract 1239,Suffolk County,New York,0
36103124001,Census Tract 1240.01,Suffolk County,New York,0
36103124002,Census Tract 1240.02,Suffolk County,New York,0
36103124101,Census Tract 1241.01,Suffolk County,New York,0
36103124102,Census Tract 1241.02,Suffolk County,New York,0
36103124200,Census Tract 1242,Suffolk County,New York,0
36103124300,Census Tract 1243,Suffolk County,New York,0
36103124401,Census Tract 1244.01,Suffolk County,New York,0
36103124402,Census Tract 1244.02,Suffolk County,New York,0
36103124500,Census Tract 1245,Suffolk County,New York,0
36103124601,Census Tract 1246.01,Suffolk County,New York,0
36103124602,Census Tract 1246.02,Suffolk County,New York,0
36103134702,Census Tract 1347.02,Suffolk County,New York,0
36103134703,Census Tract 1347.03,Suffolk County,New York,0
36103134704,Census Tract 1347.04,Suffolk County,New York,0
36103134902,Census Tract 1349.02,Suffolk County,New York,0
36103134903,Census Tract 1349.03,Suffolk County,New York,0
36103134904,Census Tract 1349.04,Suffolk County,New York,0
36103134906,Census Tract 1349.06,Suffolk County,New York,0
36103134907,Census Tract 1349.07,Suffolk County,New York,0
36103135002,Census Tract 1350.02,Suffolk County,New York,0
36103135003,Census Tract 1350.03,Suffolk County,New York,0
36103135004,Census Tract 1350.04,Suffolk County,New York,0
36103135005,Census Tract 1350.05,Suffolk County,New York,0
36103135101,Census Tract 1351.01,Suffolk County,New York,0
36103135102,Census Tract 1351.02,Suffolk County,New York,0
36103135103,Census Tract 1351.03,Suffolk County,New York,0
36103135104,Census Tract 1351.04,Suffolk County,New York,0
36103135201,Census Tract 1352.01,Suffolk County,New York,0
36103135204,Census Tract 1352.04,Suffolk County,New York,0
36103135205,Census Tract 1352.05,Suffolk County,New York,0
36103135208,Census Tract 1352.08,Suffolk County,New York,0
36103135209,Census Tract 1352.09,Suffolk County,New York,0
36103135301,Census Tract 1353.01,Suffolk County,New York,0
36103135303,Census Tract 1353.03,Suffolk County,New York,0
36103135304,Census Tract 1353.04,Suffolk County,New York,0
36103135401,Census Tract 1354.01,Suffolk County,New York,0
36103135402,Census Tract 1354.02,Suffolk County,New York,0
36103135403,Census Tract 1354.03,Suffolk County,New York,0
36103145602,Census Tract 1456.02,Suffolk County,New York,0
36103145603,Census Tract 1456.03,Suffolk County,New York,0
36103145604,Census Tract 1456.04,Suffolk County,New York,0
36103145605,Census Tract 1456.05,Suffolk County,New York,0
36103145701,Census Tract 1457.01,Suffolk County,New York,0
36103145702,Census Tract 1457.02,Suffolk County,New York,0
36103145703,Census Tract 1457.03,Suffolk County,New York,0
36103145704,Census Tract 1457.04,Suffolk County,New York,0
36103145803,Census Tract 1458.03,Suffolk County,New York,0
36103145804,Census Tract 1458.04,Suffolk County,New York,0
36103145805,Census Tract 1458.05,Suffolk County,New York,0
36103145807,Census Tract 1458.07,Suffolk County,New York,0
36103145808,Census Tract 1458.08,Suffolk County,New York,0
36103145901,Census Tract 1459.01,Suffolk County,New York,0
36103145902,Census Tract 1459.02,Suffolk County,New York,0
36103145903,Census Tract 1459.03,Suffolk County,New York,0
36103146001,Census Tract 1460.01,Suffolk County,New York,0
36103146002,Census Tract 1460.02,Suffolk County,New York,0
36103146003,Census Tract 1460.03,Suffolk County,New York,0
36103146102,Census Tract 1461.02,Suffolk County,New York,0
36103146103,Census Tract 1461.03,Suffolk County,New York,0
36103146105,Census Tract 1461.05,Suffolk County,New York,0
36103146106,Census Tract 1461.06,Suffolk County,New York,0
36103146201,Census Tract 1462.01,Suffolk County,New York,1
36103146202,Census Tract 1462.02,Suffolk County,New York,0
36103146203,Census Tract 1462.03,Suffolk County,New York,0
36103146204,Census Tract 1462.04,Suffolk County,New York,0
36103146205,Census Tract 1462.05,Suffolk County,New York,0
36103146206,Census Tract 1462.06,Suffolk County,New York,0
36103146300,Census Tract 1463,Suffolk County,New York,0
36103146402,Census Tract 1464.02,Suffolk County,New York,0
36103146403,Census Tract 1464.03,Suffolk County,New York,0
36103146404,Census Tract 1464.04,Suffolk County,New York,0
36103146500,Census Tract 1465,Suffolk County,New York,0
36103146604,Census Tract 1466.04,Suffolk County,New York,0
36103146605,Census Tract 1466.05,Suffolk County,New York,0
36103146606,Census Tract 1466.06,Suffolk County,New York,0
36103146607,Census Tract 1466.07,Suffolk County,New York,0
36103146608,Census Tract 1466.08,Suffolk County,New York,0
36103146611,Census Tract 1466.11,Suffolk County,New York,0
36103146612,Census Tract 1466.12,Suffolk County,New York,0
36103146613,Census Tract 1466.13,Suffolk County,New York,0
36103146614,Census Tract 1466.14,Suffolk County,New York,0
36103146615,Census Tract 1466.15,Suffolk County,New York,0
36103146703,Census Tract 1467.03,Suffolk County,New York,0
36103146704,Census Tract 1467.04,Suffolk County,New York,0
36103146705,Census Tract 1467.05,Suffolk County,New York,0
36103146706,Census Tract 1467.06,Suffolk County,New York,0
36103146800,Census Tract 1468,Suffolk County,New York,0
36103146901,Census Tract 1469.01,Suffolk County,New York,0
36103146902,Census Tract 1469.02,Suffolk County,New York,0
36103147001,Census Tract 1470.01,Suffolk County,New York,0
36103147003,Census Tract 1470.03,Suffolk County,New York,0
36103147004,Census Tract 1470.04,Suffolk County,New York,0
36103147100,Census Tract 1471,Suffolk County,New York,0
36103147200,Census Tract 1472,Suffolk County,New York,1
36103147300,Census Tract 1473,Suffolk County,New York,0
36103147401,Census Tract 1474.01,Suffolk County,New York,0
36103147402,Census Tract 1474.02,Suffolk County,New York,0
36103147501,Census Tract 1475.01,Suffolk County,New York,0
36103147502,Census Tract 1475.02,Suffolk County,New York,0
36103147503,Census Tract 1475.03,Suffolk County,New York,0
36103147601,Census Tract 1476.01,Suffolk County,New York,0
36103147602,Census Tract 1476.02,Suffolk County,New York,0
36103147701,Census Tract 1477.01,Suffolk County,New York,0
36103147702,Census Tract 1477.02,Suffolk County,New York,0
36103147802,Census Tract 1478.02,Suffolk County,New York,0
36103147803,Census Tract 1478.03,Suffolk County,New York,0
36103147804,Census Tract 1478.04,Suffolk County,New York,0
36103147901,Census Tract 1479.01,Suffolk County,New York,0
36103147902,Census Tract 1479.02,Suffolk County,New York,0
36103158001,Census Tract 1580.01,Suffolk County,New York,0
36103158002,Census Tract 1580.02,Suffolk County,New York,0
36103158006,Census Tract 1580.06,Suffolk County,New York,0
36103158007,Census Tract 1580.07,Suffolk County,New York,0
36103158009,Census Tract 1580.09,Suffolk County,New York,0
36103158010,Census Tract 1580.10,Suffolk County,New York,0
36103158011,Census Tract 1580.11,Suffolk County,New York,0
36103158102,Census Tract 1581.02,Suffolk County,New York,0
36103158103,Census Tract 1581.03,Suffolk County,New York,0
36103158104,Census Tract 1581.04,Suffolk County,New York,0
36103158107,Census Tract 1581.07,Suffolk County,New York,0
36103158108,Census Tract 1581.08,Suffolk County,New York,0
36103158110,Census Tract 1581.10,Suffolk County,New York,0
36103158111,Census Tract 1581.11,Suffolk County,New York,0
36103158112,Census Tract 1581.12,Suffolk County,New York,0
36103158114,Census Tract 1581.14,Suffolk County,New York,0
36103158115,Census Tract 1581.15,Suffolk County,New York,0
36103158116,Census Tract 1581.16,Suffolk County,New York,0
36103158202,Census Tract 1582.02,Suffolk County,New York,0
36103158203,Census Tract 1582.03,Suffolk County,New York,0
36103158205,Census Tract 1582.05,Suffolk County,New York,0
36103158206,Census Tract 1582.06,Suffolk County,New York,0
36103158207,Census Tract 1582.07,Suffolk County,New York,0
36103158304,Census Tract 1583.04,Suffolk County,New York,0
36103158306,Census Tract 1583.06,Suffolk County,New York,0
36103158308,Census Tract 1583.08,Suffolk County,New York,0
36103158309,Census Tract 1583.09,Suffolk County,New York,0
36103158310,Census Tract 1583.10,Suffolk County,New York,0
36103158315,Census Tract 1583.15,Suffolk County,New York,0
36103158317,Census Tract 1583.17,Suffolk County,New York,0
36103158318,Census Tract 1583.18,Suffolk County,New York,0
36103158319,Census Tract 1583.19,Suffolk County,New York,0
36103158320,Census Tract 1583.20,Suffolk County,New York,0
36103158321,Census Tract 1583.21,Suffolk County,New York,0
36103158322,Census Tract 1583.22,Suffolk County,New York,0
36103158323,Census Tract 1583.23,Suffolk County,New York,0
36103158401,Census Tract 1584.01,Suffolk County,New York,0
36103158402,Census Tract 1584.02,Suffolk County,New York,0
36103158403,Census Tract 1584.03,Suffolk County,New York,0
36103158405,Census Tract 1584.05,Suffolk County,New York,0
36103158407,Census Tract 1584.07,Suffolk County,New York,0
36103158408,Census Tract 1584.08,Suffolk County,New York,0
36103158409,Census Tract 1584.09,Suffolk County,New York,0
36103158410,Census Tract 1584.10,Suffolk County,New York,1
36103158502,Census Tract 1585.02,Suffolk County,New York,0
36103158505,Census Tract 1585.05,Suffolk County,New York,0
36103158506,Census Tract 1585.06,Suffolk County,New York,0
36103158507,Census Tract 1585.07,Suffolk County,New York,0
36103158508,Census Tract 1585.08,Suffolk County,New York,0
36103158509,Census Tract 1585.09,Suffolk County,New York,0
