FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
36059415401,Nassau County,New York,76.4,88.5,74.5,11.5,27.3,20.1,17.3,32.0,7.2,10.2,8.8,12.8,17.2,8.3,27.5,77.9,4.9,2.4,2.6,9.6,5.2,8.0,79.0,74.9
36059415402,Nassau County,New York,77.6,89.5,76.4,9.7,26.3,17.6,17.5,30.6,7.3,8.7,7.9,11.7,16.5,7.8,26.8,77.8,4.6,2.2,2.4,9.3,4.5,6.1,79.5,78.1
36059415500,Nassau County,New York,76.2,88.9,76.0,10.5,26.2,18.9,17.5,31.2,7.6,9.4,8.4,12.2,16.8,7.8,27.1,78.1,5.0,2.3,2.6,9.4,4.9,7.3,79.3,76.9
36059415600,Nassau County,New York,76.6,88.3,74.5,11.0,26.6,19.7,17.3,31.7,7.4,9.8,8.6,12.5,16.8,8.1,27.3,78.0,4.9,2.4,2.6,9.5,5.0,7.6,79.2,75.9
36059415700,Nassau County,New York,76.2,88.8,75.4,11.4,27.3,19.4,17.8,32.0,7.1,9.6,8.5,12.7,17.2,7.9,26.8,77.2,4.7,2.2,2.5,9.5,5.0,7.5,78.8,75.8
36059415802,Nassau County,New York,77.1,89.0,75.6,10.2,26.2,18.2,17.9,31.2,7.3,8.9,8.1,12.2,16.8,7.6,26.3,77.3,4.6,2.2,2.4,9.4,4.6,6.8,79.1,77.5
36059416000,Nassau County,New York,76.3,88.6,74.8,11.1,26.6,19.3,18.1,32.2,7.0,9.4,8.4,12.8,17.0,7.7,26.2,76.8,4.6,2.2,2.4,9.5,4.8,7.6,78.6,75.9
36059416100,Nassau County,New York,75.7,88.5,74.6,11.3,26.9,19.4,18.1,32.1,7.1,9.5,8.5,12.8,17.1,7.8,26.5,77.0,4.6,2.2,2.4,9.5,4.9,7.7,78.6,75.8
36059416201,Nassau County,New York,75.2,87.3,75.0,12.9,28.5,23.5,15.7,32.5,8.1,12.5,10.2,12.8,16.8,10.2,31.1,80.2,6.1,2.9,3.0,9.7,6.5,9.8,80.0,72.0
36059416202,Nassau County,New York,75.2,86.0,71.4,14.3,30.1,25.9,17.3,34.6,6.3,13.4,10.2,14.3,17.3,9.5,27.6,76.6,5.1,2.6,2.7,9.8,5.8,11.2,77.5,67.9
36059416300,Nassau County,New York,76.8,88.4,76.5,10.2,26.7,20.8,15.2,30.5,9.2,10.8,9.4,11.7,16.1,9.8,32.2,82.0,6.5,3.0,3.2,9.4,5.9,7.7,81.5,76.0
36059416401,Nassau County,New York,76.8,88.5,75.2,10.8,26.6,17.8,20.0,32.1,6.0,8.6,7.7,13.4,17.7,6.6,23.2,73.3,3.8,1.9,2.1,9.5,4.2,7.2,76.7,75.2
36059416402,Nassau County,New York,76.3,88.8,76.1,10.5,26.3,20.5,17.0,31.3,8.2,10.2,8.7,11.9,16.1,8.5,28.7,79.4,5.3,2.6,2.9,9.3,5.1,8.1,79.7,75.5
