FIPS,Tract,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
36103146612,Census Tract 1466.12,Suffolk County,New York,0.3581,0.41644562334217505,0.4582228116710875,0.8335880779518533,0.30971123338286677,0.024282560706401765,,0.0013513513513513514,,0.27586206896551724,0.012645107794361525
36103146613,Census Tract 1466.13,Suffolk County,New York,0.3184,0.46761984861227923,0.4255677039529016,0.7543953116675546,0.22824408872999102,0.026973026973026972,0.0,0.018604651162790697,0.0,0.0,0.0
36103146614,Census Tract 1466.14,Suffolk County,New York,0.3938,0.4186173108328797,0.4893848666303756,0.8914071738273551,0.2719978088417294,0.0,0.0,0.0,0.0,0.0,0.006107834877843303
36103146616,Census Tract 1466.16,Suffolk County,New York,0.3357,0.3544891640866873,0.44659442724458204,0.8966244725738397,0.21358468120152818,0.0,,0.0,,0.0,0.0
36103146617,Census Tract 1466.17,Suffolk County,New York,0.3197,0.2612872238232469,0.27953890489913547,0.7627906976744186,0.11463232150491665,0.0,0.0,0.0,0.0,0.0,0.0416988416988417
36103146618,Census Tract 1466.18,Suffolk County,New York,0.3049,0.26481195260175167,0.2895414734672849,0.522189349112426,0.4152204740360591,0.0,0.0,0.035487959442332066,0.0,0.0,0.008209887560235588
36103146619,Census Tract 1466.19,Suffolk County,New York,0.4006,0.2627197039777983,0.27752081406105455,0.5259451445515196,0.07562418017296957,0.05970149253731343,0.044444444444444446,0.0976,0.0,0.0,0.004685669660288949
36103146620,Census Tract 1466.20,Suffolk County,New York,0.252,0.35454545454545455,0.3246753246753247,0.7400089806915132,-0.015965418776720863,0.0,,0.0,,0.0,0.0
36103146703,Census Tract 1467.03,Suffolk County,New York,0.405,0.24618320610687022,0.2748091603053435,0.3592906707787201,0.29466384929019973,0.06770255271920089,0.0,0.19681908548707752,0.0,0.08196721311475409,0.05567394778902504
36103146704,Census Tract 1467.04,Suffolk County,New York,0.3518,0.4035812672176309,0.3856749311294766,0.7877828054298642,-0.7418465005971102,0.0,0.0,0.41605839416058393,0.0,0.0,0.006918819188191882
36103146705,Census Tract 1467.05,Suffolk County,New York,0.3473,0.574167507568113,0.5812310797174571,0.768467852257182,0.3116407125300723,0.059734513274336286,0.0,0.0,,0.0,0.0
