FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
36059407302,Census Tract 4073.02,Nassau County,New York,0.06763925729442971,0.040383014154870944,0.04836415362731152,0.011273209549071617,0.005968169761273209,0.8357041251778093,0.07681365576102418,0.0,465200.0,3015.0,1801.0,0.047749510763209435,0.6017316017316018
36059407401,Census Tract 4074.01,Nassau County,New York,0.025526483726866625,0.07648630594522378,0.0870988867059594,0.010848755583918315,0.009572431397574984,0.7642436149312377,0.07465618860510806,0.0091683038637852,446800.0,2660.0,2065.0,0.07312982220731301,0.41388888888888886
36059407402,Census Tract 4074.02,Nassau County,New York,0.027751196172248804,0.058257616247995726,0.05610236220472441,0.09760765550239234,0.0,0.7165354330708661,0.05511811023622047,0.0,450500.0,3122.0,2306.0,0.08967391304347827,0.4861111111111111
36059407501,Census Tract 4075.01,Nassau County,New York,0.03737604881769641,0.07908527870414483,0.05150554675118859,0.13272311212814644,0.018306636155606407,0.6584786053882726,0.16164817749603805,0.00792393026941363,400800.0,3035.0,2036.0,0.05972045743329102,0.4385150812064965
36059407502,Census Tract 4075.02,Nassau County,New York,0.0,0.042852574352414456,0.0528580208973571,0.03318992009834051,0.0,0.8469575906576521,0.09280885064535956,0.0,460200.0,2529.0,1877.0,0.13387392900856798,0.4497991967871486
36059407600,Census Tract 4076,Nassau County,New York,0.003919372900335946,0.02090843547224225,0.02473299606520517,0.0083986562150056,0.0,0.9634626194491287,0.05002810567734682,0.0,642300.0,3868.0,3034.0,0.06921029281277724,0.3384615384615385
36059407700,Census Tract 4077,Nassau County,New York,0.006105006105006105,0.0,0.04054054054054054,0.0,0.0,0.9097051597051597,0.011056511056511056,0.0,593600.0,3210.0,1830.0,0.04512489927477836,0.7074829931972789
36059407801,Census Tract 4078.01,Nassau County,New York,0.009635974304068522,0.030618686868686868,0.03027027027027027,0.0690578158458244,0.0,0.8913513513513514,0.006486486486486486,0.0,598300.0,3299.0,625.0,0.07220216606498198,0.13432835820895522
36059407802,Census Tract 4078.02,Nassau County,New York,0.25952380952380955,0.10344827586206896,0.0,0.6452380952380953,0.0,0.8617363344051447,0.0,0.012861736334405145,194000.0,1125.0,1326.0,0.273972602739726,0.0
36059407900,Census Tract 4079,Nassau County,New York,0.018272425249169437,0.1767086330935252,0.0038071065989847717,0.2541528239202658,0.0,0.7131979695431472,0.00676818950930626,0.0,573700.0,3595.0,3079.0,0.1411963247702982,0.5693215339233039
36059408000,Census Tract 4080,Nassau County,New York,0.021806853582554516,0.022792022792022793,0.009023354564755838,0.0,0.0,0.9049893842887473,0.021231422505307854,0.0,608200.0,3266.0,2611.0,0.015610365282547667,0.2569832402234637
36059408100,Census Tract 4081,Nassau County,New York,0.03898128898128898,0.003883495145631068,0.05083829096809086,0.0,0.0,0.961060032449973,0.016224986479177934,0.0,630500.0,3078.0,0.0,0.004342790966994747,0.4166666666666667
36059408200,Census Tract 4082,Nassau County,New York,0.019867549668874173,0.020163831127914304,0.021235521235521235,0.010406811731315043,0.019394512771996216,0.9271235521235521,0.0,0.0,588900.0,3384.0,2659.0,0.06062015503875973,0.33774834437086093
36059408300,Census Tract 4083,Nassau County,New York,0.022540095361941917,0.009383797309978105,0.026607538802660754,0.023840485478977026,0.0,0.9352549889135255,0.0,0.0,596900.0,3714.0,2837.0,0.03359626059012566,0.0547945205479452
36059408400,Census Tract 4084,Nassau County,New York,0.019424460431654675,0.0,0.016874541452677916,0.019424460431654675,0.0028776978417266188,0.9860601614086574,0.010271460014673514,0.0,606600.0,3522.0,0.0,0.090860502405131,1.0
36059408500,Census Tract 4085,Nassau County,New York,0.025529865125240848,0.003767491926803014,0.011369253583786456,0.0,0.0,0.9144834404349975,0.002965892239248641,0.0,636700.0,4001.0,2241.0,0.03137133095201117,0.5144508670520231
