FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
36059409000,Census Tract 4090.00,Nassau County,New York,7.39688438356164,0.924901185770751,0.385968401,20.0,0.3,152.84071070435388,257.8262628198189,0.158855493412922,0.545454531248345,0.190907313612504,1.726730829147335,69.32303,0.402654551517416
36059409100,Census Tract 4091.00,Nassau County,New York,7.40886191780822,0.907427937915742,0.389125099,20.0,0.3,148.37415671593564,283.08346203153417,0.164394889420226,0.279235954179276,0.176261192056311,1.182598463057077,69.10091,0.147701811589159
36059409200,Census Tract 4092.00,Nassau County,New York,7.41359698630137,0.883123181377303,0.372247223,20.0,0.3,168.00264820533442,130.18246886647398,0.172182921904872,0.346880961915111,0.186509260025929,2.10689945306474,69.25254,0.385060357600991
36059409300,Census Tract 4093.00,Nassau County,New York,7.35853534246575,0.903111739745403,0.394011374,20.0,0.3,136.79534631421237,100.79765506416337,0.202473370400467,0.226655247453909,0.155713310449708,0.961719150897083,68.96002,0.0
36059409400,Census Tract 4094.00,Nassau County,New York,7.35056219178082,0.902845246356696,0.404930368,20.0,0.3,125.96762834766372,80.10635256168116,0.19908701799374,0.327529197082495,0.146672615350995,0.688683693117594,68.95349,0.0
36059409500,Census Tract 4095.00,Nassau County,New York,7.33293808219178,0.896054628224582,0.403656532,20.0,0.3,111.69701618629136,828.1493916488765,0.216117667812421,0.27456888506261,0.134589605922242,0.52220062581646,68.91718,0.911996373349154
36059409600,Census Tract 4096.00,Nassau County,New York,7.3542,0.823923979877026,0.3972164,20.0,0.3,109.25440885938116,742.3124301604649,0.240448653005715,0.159264911457233,0.137689716599133,0.611581573556957,68.73316,0.096633808453883
36059409700,Census Tract 4097.00,Nassau County,New York,7.32604931506849,0.756317689530685,0.399676778,20.0,0.3,102.20805260078204,950.2782861503052,0.277849299840535,0.174439974145843,0.122728619193753,0.357610953044387,68.5966,2.570543029859324
36059409800,Census Tract 4098.00,Nassau County,New York,7.72088931506849,0.920469361147327,0.512389465,30.0,0.4,133.0623924865803,1247.3275546868392,1.0856e-11,0.259316958437478,0.058177625933333,1.182391013372021,67.87105,1.47741369129171
36059409900,Census Tract 4099.00,Nassau County,New York,7.70025232876712,0.823641201064234,0.505838155,30.0,0.4,134.44044549772616,899.7511374228585,1.2514e-11,0.28672290326949,0.056605435090472,1.011943714791025,67.62818,1.526050322809071
36059410000,Census Tract 4100.00,Nassau County,New York,7.64223917808219,0.625675675675675,0.430613155,30.0,0.3,127.99559203010988,1138.6974828850791,0.006807203482051,0.451018031954335,0.06258505535409,0.408890456400977,67.86137,1.311610340184615
36059410100,Census Tract 4101.00,Nassau County,New York,7.57723945205479,0.82326215356656,0.420534679,20.0,0.3,114.46851379545832,595.4943570946,0.009463168572118,0.427080543859757,0.065848359713525,0.31224911841474,67.8561,0.629300317290967
36059410200,Census Tract 4102.00,Nassau County,New York,7.53732136986301,0.846524432209222,0.429067418,20.0,0.3,102.71688855506,231.31306654121016,0.011660237812207,0.337348313956182,0.065757094894366,0.215402506043297,67.71258,1.657863312661189
36059410300,Census Tract 4103.00,Nassau County,New York,7.67360602739726,0.792810783824263,0.561006833,20.0,0.4,139.81537400676996,208.78101390267787,1.4677e-11,0.241012141441402,0.054867486033399,0.959215410691139,67.42869,5.868671693126221
36059410400,Census Tract 4104.00,Nassau County,New York,7.64869479452055,0.764514024787997,0.548888767,20.0,0.3,146.08089077653622,290.9174245688153,1.7221e-11,0.275232145269701,0.053304539802373,1.143543249381796,67.22171,6.658987943464671
36059410500,Census Tract 4105.00,Nassau County,New York,7.60206904109589,0.585945232596502,0.501920678,20.0,0.3,134.22983688072642,382.48857037952416,0.003064925617418,0.365617791103722,0.05693437600972,0.526849094812892,67.32979,4.150419941118813
36059410600,Census Tract 4106.00,Nassau County,New York,7.5887498630137,0.821428571428571,0.469957592,20.0,0.3,128.27631318513113,165.48717687166905,0.009397343655213,0.388734721625501,0.05983061531443,0.34628371379305,67.50696,1.956906152017181
36059410700,Census Tract 4107.00,Nassau County,New York,7.53495753424658,0.752941176470588,0.461005049,20.0,0.3,128.06189457025815,231.7936284396372,0.00868014631305,0.773842985345569,0.054516305363154,0.377652334134962,67.04351,6.719110028212562
36059410800,Census Tract 4108.00,Nassau County,New York,7.56414630136986,0.864071856287425,0.480423886,20.0,0.3,151.97552735538736,291.605654971024,2.0547e-11,0.62807394330187,0.052618922914515,0.552981566923419,66.96871,2.704233858572395
36059410900,Census Tract 4109.00,Nassau County,New York,7.60539424657534,0.826043737574552,0.524574743,20.0,0.4,176.04664641058565,129.43984593826963,2.4638e-11,0.405953779086439,0.051199484724084,0.853756380256968,66.93367,6.328339620686188
